iter	Passed	Remaining
390	2388	665
391	2394	659
392	2400	653
393	2405	647
394	2411	641
395	2417	634
396	2423	628
397	2429	622
398	2435	616
399	2441	610
400	2447	604
401	2454	598
402	2462	592
403	2470	586
404	2475	580
405	2482	574
406	2506	572
407	2517	567
408	2525	562
409	2533	556
410	2541	550
411	2551	544
412	2559	539
413	2567	533
414	2593	531
415	2613	527
416	2621	521
417	2628	515
418	2634	509
419	2642	503
420	2649	497
421	2656	490
422	2663	484
423	2670	478
424	2677	472
425	2684	466
426	2690	459
427	2696	453
428	2703	447
429	2708	440
430	2715	434
